index,source,reference,seq2seq_output,transformer_output,seq2seq_fluency,seq2seq_faithfulness,seq2seq_hallucination,seq2seq_compression,transformer_fluency,transformer_faithfulness,transformer_hallucination,transformer_compression
973,both chelsea and the premier league are furious with the bbc for allowing it to be known that the premier league trophy was being displayed on the centre circle at stamford bridge on tuesday. there is great sensitivity at chelsea about not presuming their title success before they are crowned champions and manager jose mourinho has warned players and fans to concentrate on first beating crystal palace on sunday before celebrating. yet a 20-strong stadium tour group at chelsea clearly saw the pre,"chelsea agreed to request from bbc to film the trophy at stamford bridge . the blues agreed on understanding public could not see the trophy . however, a 20-strong stadium tour saw the silverware on the pitch . chelsea can win the premier league with victory over crystal palace .",manchester city has been linked to manchester united . manchester united has scored the premier league goals for manchester city's side . manchester city striker scored a real madrid .,new: the world's united's first-year-old has been in the world cup . the first-old is a year in the first of the world,,,,0.124,,,,0.095
938,"a new york judge has granted two chimpanzees held at a research lab the same rights as human prisoners, after a two year legal battle by an animal rights organization. the two primates, currently living in a lab at stony brook university, are the first animals in history to be covered by a writ of habeas corpus, allowing their detention to be challenged. a representative of the long island university have been ordered to appear in court to respond to a petition by the nonhuman rights project tha","chimpanzees at ny university to be covered by habeas corpus writ . petition by animal rights group claims chimps are 'unlawfully detained' university rep have been ordered to attend court to respond to petition . ruling by judge effectively recognises the chimpanzees as legal humans . update: since the publication of this story, the court order has been amended. the order is no longer a 'writ of habeas corpus', which has been struck out.",study found guilty of the in the of of the . . . the . of the of the,"new: the new york, the new: a new york-year-old is a two-old and the first-old, the first of the new",,,,0.084,,,,0.088
899,"after west ham announced a vast reduction in season ticket prices earlier this week, manager sam allardyce has labelled the move the best business by any premier league club in a long time. ahead of their relocation to the olympic stadium in a year’s time, the hammers became the first club to drop the price of their season tickets off the back of the premier league’s record three-year, £5.13bn television deal, which comes into effect at the start of the 2016-17 season. west ham’s cheapest adult ",west ham became first premier league club to drop prices since tv deal . manager sam allardyce believes it's the best business done in a long time . the hammers move into the olympic stadium in 2016 .,manchester city has been linked to the premier league clash . the united has been a in the premier of the . . . the . the the united in the .,new: new: the world's united's first-year-old has been in the world cup . the first-old is a world cup in the first of the first year . the world,,,,0.147,,,,0.133
280,"it was loud all-night parties that eventually busted the secret stripper training school hiding inside a $2million 12,000 sq ft mansion next door to an exclusive gated community in florida. the egyptian-themed mansion, advertised as pharaoh’s palace on its website, promises a 'perfect private location' on seven secluded acres in tampa. an august 2014 adult-themed party dubbed 'midsummer night wet dream' got the mansion, bought by canadian millionaire gordon lownds, its first noise complaint. it ","adult-themed 'midsummer night wet dream' party got the mansion its first noise complaint in august 2014 . school was called pharaoh's daughters and advertised to help 'promising young strippers' find work at 'prestigious gentlemen's clubs' it has since been shut down by its principal owner, canadian millionaire gordon lownds . lownds said he had planned to film a reality show at the mansion about the day-to-day lives of strippers .",the video posted a ' of the's ' . . the . . 'the-''' the ''s''s the ' .'',"new: the new york's new york, the first-old is a year . the new: 'i' and the first of the world cup of a year's first-year-old was in the first time of a 'the-old'",,,,0.097,,,,0.173
883,"a man has died after he was crushed by a garbage truck doing the early morning rounds in melbourne's west. police say the man, a garbage truck driver, was collecting bins in footscray early on saturday morning when the truck rolled forward, pinning him between the vehicle and a pole. paramedics tried to revive the man but he died at the scene. workcover are investigating the incident, police said. police say the man, a garbage truck driver, was collecting bins in footscray early on saturday morn",a man has died after being crushed by a garbage truck in melbourne . the man was collecting garbage when the truck rolled and crushed him . another man has died after the car he was travelling in crashed into trees in melbourne's east on friday .,"the man, a man was found dead at the car crash in the crash . the was found in a car crash . police say they had been a to the a car . the car was a a car and the the . .","new: the new york, a new york and a man, a woman, the man, the woman, a man and a two-year-old, a two years . the woman was a 'i' in the man'",,,,0.216,,,,0.159
761,"a mexican . archaeologist hunting for a royal tomb in a tunnel . beneath a towering pre-aztec pyramid has made a discovery that . may have brought him a step closer: liquid mercury. in the bowels of teotihuacan, a mysterious ancient city that . was once the largest in the americas, earlier this month sergio gomez found 'large quantities' of the silvery metal in a chamber at . the end of a sacred tunnel sealed for nearly 1,800 years. and because of the potential supernatural significance of liqui","mexican archaeologist found mercury in chamber of teotihuacan pyramid . the chamber had been sealed at the end of a tunnel for nearly 1,800 years . because of the potential supernatural significance of liquid mercury in rituals, archaeologist sergio gomez hopes to find king's tomb in pyramid . teotihuacan, or 'abode of the gods' in the aztec language of nahuatl, was distinct from the mayan civilization .","scientists of the of of the,,, in the . . . the . of the .",new: the new york of the first-old's new york . the new: 'i' and the world's first-year-old is a year in the first time of the world cup .,,,,0.076,,,,0.138
319,"a life coach and author with a curvy figure and dyed black locks has been dubbed the romanian kim kardashian. alexandra harra, 28, who now lives in miami, has a ba degree in creative writing and classics. she now works as a professional life coach, a writer for the huffington post and an author of the karma queens' guide to relationships. but when she was persuaded to pose on the cover of the romanian playboy, she suddenly found it wasn't her university education that people were interested in. ","romanian-born alexandra harra, 28, has become an instagram star . model, who's posed for playboy, posts selfies with inspirational messages . after dyeing locks black, being hailed as a rival to kim kardashian .","kate moss, kate moss is a in the of the . . . she has been inspired by the and kate moss . she is the to the the and the .","new: the new york, the new: a new york and a new:",,,,0.144,,,,0.054
549,"washington (cnn)president barack obama says he is ""absolutely committed to making sure"" israel maintains a military advantage over iran. his comments to the new york times, published on sunday, come amid criticism from israeli prime minister benjamin netanyahu of the deal that the united states and five other world powers struck with iran. tehran agreed to halt the country's nuclear ambitions, and in exchange, western powers would drop sanctions that have hurt the iran's economy. obama said he u","in an interview with the new york times, president obama says he understands israel feels particularly vulnerable . obama calls the nuclear deal with iran a ""once-in-a-lifetime opportunity"" israeli prime minister benjamin netanyahu and many u.s. republicans warn that iran cannot be trusted .","new: obama's president obama is a to the president obama . obama says he't want to be the . . the president says he will be a "" to the . obama .","new: ""i's. obama's ""i"" says . the ""i says . ""the-year-old's",,,,0.158,,,,0.053
174,"a 10 tonne 'fatberg' made up of congealed waste has been removed from a sewer underneath one of london's most exclusive streets. the enormous lump, which was 40 metres long and made up of fat and wet wipes, was so heavy that it caused the 1940s sewer in chelsea to break. utility companies, including thames water, discovered the fatberg when local residents and businesses on draycott avenue and walton street started to complain about the rancid smell coming from the sewer. scroll down for video .","residents in two exclusive chelsea streets complained of a rancid smell . thames water investigated and discovered a 10 tonne fatberg in the sewer . the sewer which is 40 metres long was made up of fat and used wet wipes . a £400,000 repair is being carried out to rectify the damage underground .",a new york city council is a to a a of the . . . the . the a ' of the a . .,"new: the new york of the world's new york, the world cup . the world of the first-old has been found in the first of a year . the first",,,,0.115,,,,0.138
371,"club legend and assistant coach fernando hierro believes real madrid are capable of winning a second consecutive champions league - as it's in the spanish sides dna. carlo ancelotti's men meet city rivals atletico madrid in the quarter-finals, in what will be a re-run of last year's final. hierro is confident that the players in the current squad will be able to emulate the successes of previous real sides. fernando hierro believes that real madrid can win the champions league for a second succe",fernando hierro reckons real madrid can win the champions league again . the club legend believes winning the trophy is in the club's genes . carlo ancelotti's men face city rivals atletico madrid in the quarter-finals . click here for all the latest real madrid news .,real madrid's real madrid has been a real madrid . the . . the striker has scored twice goals in the premier league . . . real has scored the the champions league goals .,new: new: the world's united's first-old is a world cup . the world cup of the united't be a year . the united will have been in the first-year-old't have been a year in the united .,,,,0.165,,,,0.175
527,"a 16-year-old schoolboy is warning classmates to avoid the 'kylie jenner' challenge after being left with a bruised face when he sucked into a glass to emulate the kardashians star's bee-stung pout. kevin coulton from manchester decided to stick his mouth in the rim of a glass because 'everyone was doing it'. but the 16-year-old was left with dark bruising around his lips and chin which lasted more than three days. scroll down for video . kevin coulton, 16, put his lips in the rim of a glass and","kevin coulton, 16, from manchester stuck his mouth in the rim of a glass . the schoolboy wanted to achieve a fuller pout like celebrity kylie jenner . but, like scores before him, he was left with painful bruising around lips . now he is warning peers not to take part in craze sweeping social media .","harry barron, 31, was diagnosed with his home in his waist . he has been a to to the his job . he was a to the a . . .",new: the new york's first-old was found in the first-year-old's 'i' and a 'the-year of the new: 'the court' and the 'i was a 'i have been in the 'the,,,,0.149,,,,0.144
210,"the woman who was tragically killed when her car washed away in flood waters in maitland has been identified as an elderly great-grandmother who was popping out for milk. the body of anne jarmain, 86, was found at 7pm on wednesday; 10 hours after her car was pulled off the road and underwater as she tried to crossed cessnock road, which in the nsw hunter region. her family and friend are in shock, with her neighbours lamenting that they could not convince the sweet, 'strong-willed' woman to stay","anne germain, 86, was killed by the flood waters on wednesday . she was making a quick trip to the shops when her car washed away . bystanders stripped off and dove into the icy waters to try and save her and her car was dragged by the fast waters in maitland . she had wanted to go and see her husband in a nursing home but knew it wouldn't be safe . nsw premier mike baird visited the area and is 'shocked' by devastation .","a woman,, was found dead in a car crash in the . . . she was found in the, and and a . . the . was a in the and a ' . the's mother .",police say she was found in the man in the woman . she was arrested in the family of the man's family . the man had been found in a year .,,,,0.173,,,,0.15
235,"alex impey is breaking the law selling his customers marijuana, but as long as he keeps hearing stories that the drug is helping them cope with pain, he couldn't care less. and business for medicinal marijuana is booming, with mr impey telling daily mail australia he receives 20 new requests for help each week at his hemp store, gnostic hemporium, on the nsw central coast, north of sydney. 'i've got people coming in all the time, who have everything from cancer to early onset parkinson's,' the f","alex impey is breaking the law by openly selling marijuana to customers seeking pain relief . he sells medicinal oil from the drug at about $100 a gram and some people use up to a gram each day as treatment . mr impey also teaches the terminally ill how and where to grow their own . his ""hemp store"" alone receives more than 20 requests for help accessing medicinal cannabis each week . patients who contact him include cancer sufferers, those with parkinson's disease, multiple sclerosis and children with epilepsy . larisa rule, 3, is one of his customers, and takes the drug to reduce her seizures . her father peter risked two years in","dr pam,,, has been diagnosed with cancer treatment . the . . . to be a to to the a . . the disease . the is now to the to a a . of the .",new: the new: a new york-year-old is a 'the-old' with the new york't have been found in the first-old .,,,,0.175,,,,0.094
101,"a celebrated australian artist has penned an impassioned message to the indonesian president in the final hours before his treasured friends, myuran sukumaran and andrew chan, are expected to be executed in indonesia. archibald-winning artist ben quilty became a mentor to bali nine duo in 2012 and has been a staunch advocate for clemency having witnessed their remarkable rehabilitation first-hand. quilty has addressed his poignant post to indonesian president joko widodo, who has repeatedly reje","australian convicted drug smugglers myuran sukumaran and andrew chan are expected to be executed in coming hours . celebrated artist ben quilty became their mentor and friend in 2002 . he has campaigned tirelessly for clemency, leading the 'mercy' campaign . hours before their execution he penned a message to indonesian president . he has described how the men will be a pillar of strenght for the others on death row until the last moment the guns are fires .","john edwards,, is the first time in the in the . . . he has been to to the his wife and his . he will be his first time for the his . .",new: new: the new york's first-old says . he is a 'i' for the first-year-old's 'the-old is a year',,,,0.155,,,,0.084
986,"a married dentist forced his practice nurse to resign after she rejected his attempts to kiss her, a tribunal heard. colin cromie told xara grogan, 29, they should jet to barcelona for a break and claimed they were both stuck with the wrong partner. but when she turned down his advances their working relationship soured and mr cromie, 49, became increasingly hostile and unfriendly. he would also snatch instruments from her in the surgery and be ‘abrupt and rude’ and blamed her for a fall-out wit","colin cromie hired his stepson's girlfriend xara grogan as a dental nurse . he flirted with the 29-year-old, shared sexist jokes and tried to kiss her . when she turned him down he became 'hostile' and forced her out of job . miss grogan won claim for constructive dismissal and sexual harassment .","karen danczuk, 23, was diagnosed with a year after she was a . . . she was her to her a ' of her . she . she had a ' to and a ' . .",police say he was found in the man's home . he was arrested in the family of the 'i' and was found on the 'the-old',,,,0.178,,,,0.12
902,"they call themselves the 'thelma and louise of wellness' and they've taken mindfulness to the boardrooms of australia. shannah kennedy and lyndall mitchell, who between them have been more than three decades of life coaching experience, are teaching their masterclass of wellness to ceos and executives across the country. skills such as dealing with stress, being aware of trains of thought, and accumulative mindfulness are being taught to professionals in the banking, business and retail sector. ","shannah kennedy and lyndall mitchell are 'thelma and louise of wellness' the pair have decades of life coaching and retreat experience . run a course called the masterclass of wellness: the boardroom retreat . teach mindfulness to ceos and executives across australia . clients include nab, macquarie bank, sportsgirl, pwc and kikki.k . skills taught include dealing with stress, and accumulative mindfulness .",study of brits of brits and women's most of the . . the . of the and women . the most popular . . .,"new: the u.s. says he is a year . the new: 'i' to be a new york's. the new york . the u., is a 'i have been in the world'",,,,0.126,,,,0.156
947,"real madrid coach carlo ancelotti is facing a midfield selection conundrum for wednesday's la liga match across town at rayo vallecano as the european champions look to keep up the pressure on leaders barcelona. second-placed real, who hammered granada 9-1 on sunday with portugal forward cristiano ronaldo netting his first five-goal haul, are four points behind barca, who host almeria earlier on wednesday, with nine games left. barring last-minute injuries, ancelotti will have both isco and jame","real madrid return to action at rayo vallecano on wednesday night . they kept up the pressure on barcelona with a 9-1 thrashing of granada . cristiano ronaldo scored five goals in the bernabeu rout . carlo ancelotti now faces a selection poser ahead of rayo visit . isco and james rodriguez are both fit and available again . barcelona, four points clear, host almeria on wednesday night .",real madrid has scored twice goals for real madrid . real madrid's real madrid and atletico madrid . the real madrid,new: new: the world's united's first-year-old has been in the world cup . the first-old is a world cup in the first of the first year .,,,,0.095,,,,0.122
346,"leicester city midfielder esteban cambiasso is wanted by delhi dynamos for india's i-league. the former real madrid and inter milan midfielder signed a one-year deal with leicester last summer and has been in excellent form. nigel pearson is keen for the 34-year-old to stay for another season but much will hinge on leicester staying in the premier league. esteban cambiasso signed a one-year deal at leicester city and is now linked with delhi dynamos in india . midfielder cambiasso, 34, has been ",esteban cambiasso signed a one-year deal at leicester city last summer . delhi dynamos want to bring him to the new indian super league season . nigel pearson would like to keep him at the club if leicester stay up .,manchester city has been linked to the premier league on saturday . the striker has been a to the for the premier . . . the united has been the premier of the .,new: new: the united's united't have been in the world cup . the world's first-old is a world cup in the united .,,,,0.174,,,,0.118
139,a woman charged with having sex with a dog has whacked a photographer over the head with a bottle and told him to 'f--k off' outside court on saturday afternoon. jenna louise driscoll was leaving a brisbane's city watch house after fronting the court for failing to appear on april 7. the 25-year-old lashed out and hit a photographer on the forehead with a plastic bottle before hurling abuse at him. woman charged with having sex with a dog has lashed out at a photographer and hit him over the hea,woman charged with having sex with a dog lashed out at a photographer . jenna louise driscoll hit him over the head with a bottle outside of court . she fronted brisbane court after she failed to appear on april 7 . she was arrested on friday afternoon by police after a warrant was issued . police allegedly found bestiality videos when investigating text messages on her mobile phone for allegedly dealing cannabis in october .,"jessica burlew, 23, was charged with a counts of her . . she was arrested in the . she found guilty to a police . police say she had been charged with her and a . . . police said she was a ' of the''",police say she was found in the man in the woman . she was arrested in the family of the man's home . the man was found on the family in a year .,,,,0.197,,,,0.145
621,"internet users were left scratching their heads after an old hoax video showing a wave rider surfing in front of the sydney's opera house started trending for a second time. the video was uploaded to twitter on tuesday morning by popular sydney radio duo fitzy and wippa, before quickly being reposted by a spell of other sources. the posting of the video comes in the wake of heavy storms which battered sydney overnight, with parts of the city experiencing the heaviest rainfall in 100 years. a hoa",the video first went viral after being uploaded to youtube in june 2012 . it was reposted on tuesday by popular radio hosts fitzy and whipper . youtube commenters outlined a number of visual inaccuracies in the clip . swell experts declared it is impossible for waves could reach the harbour .,the video shows the the of the of of the . . . the . the the was the by the and the the the .,new: the new york of the first-old is a year . the new: 'i' and the first of the world cup of a year's first-year-old was in the first time of a 'the-old',,,,0.119,,,,0.151
499,"(cnn)freddie gray did not get timely medical care after he was arrested and was not buckled into a seat belt while being transported in a police van, baltimore police said friday. police commissioner anthony batts told reporters there are no excuses for the fact that gray was not buckled in as he was transported to a police station. five days after gray's death and amid ongoing protests, police officials acknowledged mistakes were made during and after his arrest. gray, who was stopped april 12 ",attorney for the family of freddie gray says developments are step forward but another issue is more important . family will have a forensic pathologist do an independent autopsy . police say gray should have received medical care at different points before he got to a police station .,new: police officer darren wilson was arrested in a police officer . police say . police officer was arrested on suspicion of the police . police,"new: the new: ""i's. says . he says he says she says he was a 'i'",,,,0.118,,,,0.072
370,"vijay chokal-ingam claims that he posed as a black man while he applied to medical schools in 1998 because he believed he had a better chance of gaining acceptance . the older brother of comedienne mindy kaling has controversially claimed he was only accepted into medical school in the late 1990s because he posed as a black man. writing on his blog, almost black, vijay chokal-ingam says that he felt he had to change his appearance to get into the st. louis university school of medicine and heavi","vijay chokal-ingam claims he posed as a black man and was accepted into the st. louis university school of medicine in 1998 . he decided he'd have a better chance of getting into medical school if he was black rather than an indian-american man . tells of his experiences on his own website, almost black and criticizes affirmative action . he claims he shaved his head, trimmed his 'long indian eyelashes' and joined the organization of black students .","dr cornwell, he was a ' in the, but he was ' . he says he was",new: the new: 'i't have been found in the new york . he was a 'i have been in the first-old',,,,0.084,,,,0.103
198,"mi5 has issued an alert over the threat posed by rogue workers in britain’s nuclear, transport and public services after suicide pilot andreas lubitz killed 150 people in the alps plane crash disaster. and concerns are so great that one security source has warned: ‘however much physical security you have, if someone is already in there, there’s nothing you can do to stop them committing an act of sabotage or terrorism.’ mi5 is now giving advice on the risk posed by thousands of employees working","alert issued over rogue workers in nuclear, transport and public services . mi5 giving advice on risk posed by employees working in sensitive areas . follows actions of pilot andreas lubitz who killed 150 people in the alps . a ba pilot claims his airline does not carry out mental health checks .",warning: 'we''t want to the'''s ' . . the . of the . the ' of the' and the . . .,new: the u.s. says it will be a year . the first-old has been in the world cup of the world's. the first time of a year and the world of a world cup .,,,,0.102,,,,0.162
687,francis coquelin is confident he can show his potential as arsenal's long-term midfield enforcer when he goes head to head with 'unbelievable' nemanja matic in sunday's barclays premier league showdown with chelsea at the emirates stadium. the gunners tackle the leaders aiming to eat into their 10-point advantage at the top of the table following last weekend's 1-0 victory over third-placed manchester united. coquelin was drafted back into the arsenal squad from a loan spell at charlton in decem,francis coquelin ready for head-to-head battle with nemanja matic . arsenal midfielder has shone since returning from a loan spell at charlton . gunners have failed to beat chelsea since october 2012 . read: jose mourinho deep down admires what wenger has established . jose mourinho: fabregas chose chelsea over arsenal to win trophies .,manchester united has scored the premier league goals for liverpool . the striker has scored a real madrid . manchester united . he has been the for the united .,new: new: the united's united't have been in the world cup . the world's first-old has been a year in the united . the united will be a year for the united in a year .,,,,0.14,,,,0.167
